rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
12884679,1043605,1,881954,0,0,0,0,0,2,0,0,0,1397318787,0,0,"{'message': '好美', 'plat': 0, 'device': ''}",,0,False,1043605
12653484,1043605,1,1318586,0,0,0,2,2,1,0,0,0,1396681692,0,0,"{'message': '***_(:3」∠)_', 'plat': 0, 'device': ''}",,0,False,1043605
12636350,1043617,1,646007,0,0,0,4,4,24,0,0,0,1396622182,64,0,"{'message': 'SF大大好厉害', 'plat': 0, 'device': ''}",,0,False,1043617
12635884,1043617,1,256157,0,0,0,6,6,18,0,0,0,1396621357,63,0,"{'message': '太触了！', 'plat': 0, 'device': ''}",,0,False,1043617
12636253,1043617,1,279006,0,0,0,5,5,23,0,0,0,1396622038,15,0,"{'message': '那么傲娇真是FASF！【吧里蛋酥下禁令不让Fa于是来这里多Fa几下凉席割割一定不会怪我的=w=', 'plat': 0, 'device': ''}",,0,False,1043617
20825901,1043614,1,1571164,0,0,0,1,1,3,0,0,0,1415206666,15,0,"{'message': 'YUNO这东西简直是太神了，神一样的设定+神一样的剧本+神一样的展开，和它相比现在的GAL都只能算小品了，真正的大师级作品……怀念菅野洋之先生。如果要玩的话推荐玩SS版，至少有配音，我记的主角CV还是桧山修之。以及……这样的传奇作品居然没有汉化实在可惜啊╮(￣▽￣)╭~', 'plat': 0, 'device': ''}",,0,False,1043614
4794235528,1043614,1,16608835,0,0,0,0,0,9,0,0,0,1624681353,0,0,"{'message': '请问op名称', 'plat': 0, 'device': ''}",,0,False,1043614
2466001770,1043614,1,15252854,0,0,0,0,0,6,0,0,0,1583273311,0,0,"{'message': '比重制版好多力....', 'plat': 0, 'device': ''}",,0,False,1043614
12746748,1043613,1,458456,0,0,0,0,0,6,0,0,0,1396882831,1,0,"{'message': '必须去追了！！好感兴趣', 'plat': 0, 'device': ''}",,0,False,1043613
12736776,1043613,1,1289933,0,0,0,0,0,5,0,0,0,1396866915,0,0,"{'message': '卡司赞一个~ 必追~期待和让叔的对手戏', 'plat': 0, 'device': ''}",,0,False,1043613
12696486,1043613,1,822920,0,0,0,0,0,4,0,0,0,1396782876,0,0,"{'message': '旁白声音真的好像雅人叔啊', 'plat': 0, 'device': ''}",,0,False,1043613
14073106,1043624,1,1174503,0,0,0,0,0,5,0,0,0,1400743129,0,0,"{'message': '理一理理一理，第一部预告：三方争霸；第二部：魔族入侵；第三部：诺德开大。。。\nup主，还有新预告么？', 'plat': 0, 'device': ''}",,0,False,1043624
12658992,1043624,1,70850,0,0,0,0,0,4,0,0,0,1396694336,0,0,"{'message': '味精人是吊，来无影去无终', 'plat': 0, 'device': ''}",,0,False,1043624
12651367,1043624,1,599896,0,0,0,0,0,3,0,0,0,1396677192,0,0,"{'message': '无限小电视了。。。', 'plat': 0, 'device': ''}",,0,False,1043624
82142516,1043628,1,547508,0,0,0,0,0,15,0,0,256,1454420739,2,0,"{'message': '来自2016的鹤儿姐姐   千千一直都好棒  以后也要加油', 'plat': 0, 'device': ''}",,0,False,1043628
1690356926,1043628,1,4180470,0,0,0,0,0,18,0,0,256,1560751859,1,0,"{'message': '2019年 你越来越好', 'plat': 0, 'device': ''}",,0,False,1043628
284389171,1043628,1,11569707,0,0,0,0,0,16,0,0,0,1497440890,1,0,"{'message': '来自2017的千纸鹤的祝福_(:з」∠)_', 'plat': 0, 'device': ''}",,0,False,1043628
12797569,1043622,1,2804938,0,0,0,0,0,2,0,0,0,1397053115,1,0,"{'message': '1、UP主说的不错\n2、这个MOD很冷门但是稍微看了一下就已经被吸引了，场景好漂亮，衣服很精美，我还见到了一个叫“卢金”（没记错吧）的美女\n3、顺便还涨了点历史知识~很值得推广的MOD，丢个硬币\n但这个MOD有什么特色倒是没体现出来\n', 'plat': 0, 'device': ''}",,0,False,1043622
